state,Latitude,Longitude,state_name
Alabama,32.806671,-86.79113,Alabama
Alaska,61.370716,-152.404419,Alaska
Arizona,33.729759,-111.431221,Arizona
Arkansas,34.969704,-92.373123,Arkansas
California,36.116203,-119.681564,California
Colorado,39.059811,-105.311104,Colorado
Connecticut,41.597782,-72.755371,Connecticut
Delaware,39.318523,-75.507141,Delaware
District of Columbia,38.897438,-77.026817,District of Columbia
Florida,27.766279,-81.686783,Florida
Georgia,33.040619,-83.643074,Georgia
Hawaii,21.094318,-157.498337,Hawaii
Idaho,44.240459,-114.478828,Idaho
Illinois,40.349457,-88.986137,Illinois
Indiana,39.849426,-86.258278,Indiana
Iowa,42.011539,-93.210526,Iowa
Kansas,38.5266,-96.726486,Kansas
Kentucky,37.66814,-84.670067,Kentucky
Louisiana,31.169546,-91.867805,Louisiana
Maine,44.693947,-69.381927,Maine
Maryland,39.063946,-76.802101,Maryland
Massachusetts,42.230171,-71.530106,Massachusetts
Michigan,43.326618,-84.536095,Michigan
Minnesota,45.694454,-93.900192,Minnesota
Mississippi,32.741646,-89.678696,Mississippi
Missouri,38.456085,-92.288368,Missouri
Montana,46.921925,-110.454353,Montana
Nebraska,41.12537,-98.268082,Nebraska
Nevada,38.313515,-117.055374,Nevada
New Hampshire,43.452492,-71.563896,New Hampshire
New Jersey,40.298904,-74.521011,New Jersey
New Mexico,34.840515,-106.248482,New Mexico
New York,42.165726,-74.948051,New York
North Carolina,35.630066,-79.806419,North Carolina
North Dakota,47.528912,-99.784012,North Dakota
Ohio,40.388783,-82.764915,Ohio
Oklahoma,35.565342,-96.928917,Oklahoma
Oregon,44.572021,-122.070938,Oregon
Pennsylvania,40.590752,-77.209755,Pennsylvania
Rhode Island,41.680893,-71.51178,Rhode Island
South Carolina,33.856892,-80.945007,South Carolina
South Dakota,44.299782,-99.438828,South Dakota
Tennessee,35.747845,-86.692345,Tennessee
Texas,31.054487,-97.563461,Texas
Utah,40.150032,-111.862434,Utah
Vermont,44.045876,-72.710686,Vermont
Virginia,37.769337,-78.169968,Virginia
Washington,47.400902,-121.490494,Washington
West Virginia,38.491226,-80.954453,West Virginia
Wisconsin,44.268543,-89.616508,Wisconsin
Wyoming,42.755966,-107.30249,Wyoming
